Rank_2018,City,State,Est_Census_2018,Landarea_2016,Pop_Density_2016,Latitude,Longitude,Census_1880,Census_1890,Census_1900,Census_1910,Census_1920,Census_1930,Census_1940,Census_1950,Census_1960,Census_1970,Census_1980,Census_1990,Census_2000,Census_2010,Census_2017
192, Olathe,  Kansas,139605,157.7,859,38.8843,-94.8195,2285.0,3294.0,3451.0,3272.0,3268.0,3656.0,3979.0,5593.0,10987.0,17921.0,37258.0,63440.0,92962.0,125872.0,137472.0
193, Orange,  California,139484,65.8,2136,33.7870,-117.8613,679.0,866.0,1216.0,2920.0,4884.0,8066.0,7901.0,10027.0,26444.0,77365.0,91450.0,110658.0,128821.0,136416.0,140560.0
194, Thornton,  Colorado,139436,92.5,1478,39.9194,-104.9428,,,,,,,,,11353.0,13326.0,42054.0,55031.0,82384.0,118772.0,136978.0
195, Roseville,  California,139117,111.4,1191,38.7690,-121.3189,258.0,345.0,,2608.0,4477.0,6425.0,6653.0,8723.0,13421.0,18221.0,24347.0,44685.0,79921.0,118788.0,135329.0
196, Denton,  Texas,138541,241.9,553,33.2166,-97.1414,1194.0,2558.0,4187.0,4732.0,7626.0,9587.0,11192.0,21372.0,26844.0,39874.0,48063.0,66270.0,80537.0,113383.0,136268.0
197, Waco,  Texas,138183,230.5,580,31.5601,-97.1860,7295.0,14445.0,20686.0,26425.0,38500.0,52848.0,55982.0,84706.0,97808.0,95326.0,101261.0,103590.0,113726.0,124805.0,136436.0
198, Surprise,  Arizona,138161,279.5,470,33.6706,-112.4527,,,,,,,,,,2427.0,3723.0,7122.0,30848.0,117517.0,134085.0
199, Carrollton,  Texas,136879,94.0,1419,32.9884,-96.8998,,,,,573.0,689.0,921.0,1610.0,4242.0,13855.0,40595.0,82169.0,109576.0,119097.0,135710.0
200, West Valley City,  Utah,136401,91.9,1485,40.6885,-112.0118,,,,,,,,,,,72299.0,86976.0,108896.0,129480.0,136170.0
201, Charleston,  South Carolina,136208,282.3,476,32.8179,-79.9590,49984.0,54955.0,55807.0,58833.0,67957.0,62265.0,71275.0,70174.0,60288.0,66945.0,69779.0,80414.0,96650.0,120083.0,138036.0
202, Warren,  Michigan,134587,89.1,1517,42.4929,-83.0250,,,890.0,2346.0,6780.0,24024.0,23658.0,42653.0,89246.0,179260.0,161134.0,144864.0,138247.0,134056.0,135022.0
203, Hampton,  Virginia,134313,133.4,1015,37.0480,-76.2971,2684.0,2513.0,2764.0,5505.0,6138.0,6382.0,5898.0,5966.0,89258.0,120779.0,122617.0,133811.0,146437.0,137436.0,134669.0
204, Gainesville,  Florida,133857,161.4,815,29.6788,-82.3461,,2790.0,3633.0,6183.0,6860.0,10465.0,13757.0,26861.0,29701.0,64510.0,81371.0,84770.0,95447.0,124354.0,132249.0
205, Visalia,  California,133800,97.1,1349,36.3273,-119.3289,1412.0,2885.0,3085.0,4550.0,5753.0,7263.0,8904.0,11749.0,15791.0,27130.0,49729.0,75636.0,91565.0,124442.0,133010.0
206, Coral Springs,  Florida,133507,61.6,2110,26.2707,-80.2593,,,,,,,,,,1489.0,37349.0,79443.0,117549.0,121096.0,133037.0
207, Columbia,  South Carolina,133451,345.8,388,34.0291,-80.8980,10036.0,15353.0,21108.0,26319.0,37524.0,51581.0,62396.0,86914.0,97433.0,112542.0,101208.0,98052.0,116278.0,129272.0,133114.0
208, Cedar Rapids,  Iowa,133174,183.4,715,41.9670,-91.6778,10104.0,18020.0,25656.0,32811.0,45566.0,56097.0,62120.0,72296.0,92035.0,110642.0,110243.0,108772.0,120758.0,126326.0,132228.0
209, Sterling Heights,  Michigan,132964,94.5,1401,42.5812,-83.0303,,,,,,,3648.0,6509.0,14622.0,61365.0,108999.0,117810.0,124471.0,129699.0,132631.0
210, New Haven,  Connecticut,130418,48.4,2683,41.3108,-72.9250,62882.0,86045.0,108027.0,133605.0,162537.0,162665.0,160605.0,164443.0,152048.0,137707.0,126021.0,130474.0,123626.0,129779.0,131014.0
211, Stamford,  Connecticut,129775,97.4,1326,41.0799,-73.5460,2540.0,10396.0,15997.0,25138.0,35096.0,46346.0,47938.0,74293.0,92713.0,108798.0,102466.0,108056.0,117083.0,122643.0,131000.0
212, Concord,  California,129688,79.0,1630,37.9722,-122.0016,399.0,373.0,586.0,703.0,912.0,1125.0,1373.0,6953.0,36208.0,85164.0,103251.0,111348.0,121780.0,122067.0,129270.0
213, Kent,  Washington,129618,87.3,1461,47.3880,-122.2127,,853.0,755.0,1908.0,2282.0,2320.0,2586.0,3278.0,9017.0,17711.0,22961.0,37960.0,79524.0,92411.0,128458.0
214, Santa Clara,  California,129488,47.7,2643,37.3646,-121.9679,2416.0,2891.0,3650.0,4348.0,5220.0,6302.0,6650.0,11702.0,58880.0,86118.0,87700.0,93613.0,102361.0,116468.0,127134.0
215, Elizabeth,  New Jersey,128885,31.9,4038,40.6664,-74.1935,28229.0,37764.0,52130.0,73409.0,95783.0,114589.0,109912.0,112817.0,107698.0,112654.0,106201.0,110002.0,120568.0,124969.0,
216, Round Rock,  Texas,128739,92.2,1311,30.5252,-97.6660,628.0,1438.0,1138.0,1245.0,900.0,1005.0,1173.0,1683.0,2458.0,2811.0,12740.0,30923.0,61136.0,99887.0,
217, Thousand Oaks,  California,127690,143.0,902,34.1933,-118.8742,,,,,,,,1243.0,2934.0,35873.0,77072.0,104352.0,117005.0,126683.0,128995.0
218, Lafayette,  Louisiana,126143,139.3,916,30.2074,-92.0285,815.0,2106.0,3314.0,6392.0,7855.0,14635.0,19210.0,33541.0,40400.0,68908.0,80584.0,94440.0,110257.0,120623.0,126848.0
219, Athens,  Georgia,125964,301.5,410,33.9496,-83.3701,6099.0,8639.0,10245.0,14913.0,16748.0,18192.0,20650.0,28180.0,31355.0,44342.0,42549.0,45734.0,100266.0,115452.0,125691.0
220, Topeka,  Kansas,125904,159.3,796,39.0347,-95.6962,15452.0,31007.0,33608.0,43684.0,50022.0,64120.0,67833.0,78791.0,119484.0,125011.0,115266.0,119883.0,122377.0,127473.0,
221, Simi Valley,  California,125851,107.5,1175,34.2669,-118.7485,,,,,,,,,,59832.0,77500.0,100217.0,111351.0,124237.0,126878.0
222, Fargo,   North Dakota,124844,127.7,950,46.8652,-96.8290,2693.0,5664.0,9589.0,14331.0,21961.0,28619.0,32580.0,38256.0,46662.0,53365.0,61383.0,74111.0,90599.0,105549.0,
223, Norman,  Oklahoma,123471,463.1,264,35.2406,-97.3453,,787.0,2225.0,3724.0,5004.0,9603.0,11429.0,27006.0,33412.0,52117.0,68020.0,80071.0,95694.0,110925.0,122843.0
224, Columbia,  Missouri,123180,168.3,717,38.951561,-92.328638,3326.0,4000.0,5651.0,9662.0,10392.0,14967.0,18399.0,31974.0,36650.0,58521.0,62061.0,69101.0,84531.0,108500.0,
225, Abilene,  Texas,122999,276.4,442,32.4545,-99.7381,,3194.0,3411.0,9204.0,10274.0,23175.0,26612.0,45570.0,90368.0,89653.0,98315.0,106707.0,115930.0,117063.0,121885.0
226, Wilmington,  North Carolina,122607,133.6,880,34.2092,-77.8858,17350.0,20056.0,20976.0,25748.0,33372.0,32270.0,33407.0,45043.0,44013.0,46169.0,44000.0,55530.0,75838.0,106476.0,119045.0
227, Hartford,  Connecticut,122587,45.1,2735,41.7659,-72.6816,42015.0,53230.0,79850.0,98915.0,138036.0,164072.0,166267.0,177397.0,162178.0,158017.0,136392.0,139739.0,121578.0,124775.0,
228, Victorville,  California,122312,189.8,644,34.5277,-117.3536,,,,,,,,,,10845.0,14220.0,40674.0,64029.0,115903.0,122441.0
229, Pearland,  Texas,122149,119.9,947,29.5558,-95.3231,,,,,,,,,1497.0,6444.0,13248.0,18697.0,37640.0,91252.0,119940.0
230, Vallejo,  California,121913,79.5,1525,38.1079,-122.2640,5987.0,6343.0,7965.0,11340.0,21107.0,16072.0,20072.0,26038.0,60877.0,71710.0,80303.0,109199.0,116760.0,115942.0,122105.0
231, Ann Arbor,  Michigan,121890,72.8,1659,42.2761,-83.7309,8061.0,9431.0,14509.0,14817.0,19516.0,26944.0,29815.0,48251.0,67340.0,100035.0,107969.0,109592.0,114024.0,113934.0,121477.0
232, Berkeley,  California,121643,27.2,4458,37.8670,-122.2991,,5101.0,13214.0,40434.0,56036.0,82109.0,85547.0,113805.0,111268.0,114091.0,103328.0,102724.0,102743.0,112580.0,122324.0
233, Allentown,  Pennsylvania,121433,45.3,2657,40.5936,-75.4784,18063.0,25288.0,35416.0,51913.0,73502.0,92563.0,96904.0,106756.0,108347.0,109871.0,103758.0,105301.0,106632.0,118032.0,121283.0
234, Richardson,  Texas,120981,74.1,1530,32.9723,-96.7081,,,,,,629.0,720.0,1289.0,16810.0,48405.0,72496.0,74840.0,91802.0,99223.0,116783.0
235, Odessa,  Texas,120568,117.1,1007,31.8838,-102.3411,,,,,,2407.0,9573.0,29495.0,80338.0,78380.0,90027.0,89699.0,90943.0,99940.0,116861.0
236, Arvada,  Colorado,120492,100.0,1175,39.8337,-105.1503,,,,840.0,915.0,1276.0,1482.0,2359.0,19242.0,49844.0,84576.0,89235.0,102153.0,106433.0,118807.0
237, Cambridge,  Massachusetts,118977,16.6,6675,42.3760,-71.1187,52669.0,70028.0,91886.0,104839.0,109694.0,113643.0,110879.0,120740.0,107716.0,100361.0,95322.0,95802.0,101355.0,105162.0,
238, Sugar Land,  Texas,118600,88.1,1347,29.5994,-95.6142,,,,,,,,2285.0,2802.0,3318.0,8826.0,24529.0,63328.0,78817.0,
239, Beaumont,  Texas,118428,212.6,556,30.0849,-94.1453,,3296.0,9427.0,20640.0,40422.0,57732.0,59061.0,94014.0,119175.0,117548.0,118067.0,114177.0,113866.0,118296.0,119114.0
240, Lansing,  Michigan,118427,101.3,1146,42.7143,-84.5593,8319.0,13102.0,16485.0,31229.0,57327.0,78397.0,78753.0,92129.0,107807.0,131403.0,130414.0,127321.0,119128.0,114297.0,
241, Evansville,  Indiana,117963,122.5,975,37.9877,-87.5347,29280.0,50756.0,59007.0,69647.0,85264.0,102249.0,97962.0,128636.0,141543.0,138764.0,130496.0,126272.0,121582.0,117429.0,118930.0
242, Rochester,  Minnesota,116961,141.4,806,44.0154,-92.4772,5103.0,5321.0,6843.0,7844.0,13722.0,20621.0,28312.0,29885.0,40663.0,53766.0,57890.0,70745.0,85806.0,106769.0,115733.0
243, Independence,  Missouri,116925,201.5,581,39.0855,-94.3521,3146.0,6380.0,6974.0,9859.0,11686.0,15296.0,16066.0,36963.0,62328.0,111630.0,111806.0,112295.0,113288.0,116830.0,117306.0
244, Fairfield,  California,116884,105.9,1083,38.2593,-122.0321,424.0,,,834.0,1008.0,1131.0,1312.0,3118.0,14968.0,44146.0,58099.0,77211.0,96178.0,105321.0,116266.0
245, Provo,  Utah,116702,108.0,1082,40.2453,-111.6448,3432.0,5159.0,6185.0,8925.0,10303.0,14766.0,18071.0,28937.0,36047.0,53131.0,74108.0,86835.0,105166.0,112488.0,117335.0
246, Clearwater,  Florida,116478,67.1,1705,27.9789,-82.7666,,,383.0,1171.0,2427.0,7607.0,10136.0,15581.0,34653.0,52074.0,85170.0,98669.0,108787.0,107685.0,115513.0
247, College Station,  Texas,116218,132.1,849,30.5852,-96.2964,,,,,,,2184.0,7925.0,11396.0,17676.0,37272.0,52456.0,67890.0,93857.0,
248, West Jordan,  Utah,116046,83.7,1360,40.6024,-112.0008,,,,,,,,2107.0,3009.0,4221.0,27192.0,42892.0,68336.0,103712.0,113905.0
249, Carlsbad,  California,115877,97.6,1167,33.1239,-117.2828,,,,,,,,,9253.0,14944.0,35490.0,63126.0,78247.0,105328.0,115330.0
250, El Monte,  California,115586,24.9,4658,34.0746,-118.0291,,,,,1283.0,3479.0,4746.0,8101.0,13163.0,69892.0,79494.0,106209.0,115965.0,113475.0,116109.0
251, Murrieta,  California,114985,87.0,1283,33.5721,-117.1904,,,,,,,,,,,,1628.0,44282.0,103466.0,
252, Temecula,  California,114742,96.6,1170,33.4931,-117.1317,,,,,,,,,,,1783.0,27099.0,57716.0,100097.0,
253, Springfield,  Illinois,114694,155.7,743,39.7911,-89.6446,19743.0,24963.0,34159.0,51678.0,59183.0,71864.0,75503.0,81628.0,83271.0,91753.0,99637.0,105227.0,111454.0,116250.0,114868.0
254, Palm Bay,  Florida,114194,170.2,647,27.9856,-80.6626,,,,,,,,,2808.0,7176.0,18560.0,62632.0,79413.0,103190.0,111657.0
255, Costa Mesa,  California,113615,40.7,2775,33.6659,-117.9123,,,,,,,,,37550.0,72660.0,82562.0,96357.0,108724.0,109960.0,113825.0
256, Westminster,  Colorado,113479,82.1,1387,39.8822,-105.0644,,,,,235.0,436.0,534.0,1686.0,13850.0,19512.0,50211.0,74625.0,100940.0,106114.0,112812.0
257, North Charleston,  South Carolina,113237,190.9,573,32.9178,-80.0650,,,,,,,,,,,62479.0,70218.0,79641.0,97471.0,110861.0
258, Miami Gardens,  Florida,113069,47.1,2398,25.9489,-80.2436,,,,,,,,,,,,116713.0,124656.0,107167.0,113750.0
259, Manchester,  New Hampshire,112525,85.7,1289,42.9849,-71.4441,32630.0,44126.0,56987.0,70063.0,78384.0,76834.0,77685.0,82732.0,88282.0,87754.0,90936.0,99332.0,107006.0,109565.0,111196.0
260, High Point,  North Carolina,112316,143.0,778,35.9900,-79.9905,1991.0,2500.0,4163.0,9525.0,14302.0,36745.0,38495.0,39973.0,62063.0,63229.0,63380.0,69428.0,85839.0,104371.0,111513.0
261, Downey,  California,112269,32.1,3527,33.9382,-118.1309,,,,,,,,,82505.0,88573.0,82602.0,91444.0,107323.0,111772.0,113092.0
262, Clovis,  California,112022,62.7,1700,36.8282,-119.6849,,,,,1157.0,1316.0,1626.0,2766.0,5546.0,13856.0,33021.0,50323.0,68468.0,95631.0,109691.0
263, Pompano Beach,  Florida,111954,62.2,1760,26.2416,-80.1339,,,,269.0,636.0,2614.0,4427.0,5682.0,15992.0,38587.0,52618.0,72411.0,78191.0,99845.0,110473.0
264, Pueblo,  Colorado,111750,138.8,795,38.2699,-104.6123,3217.0,24558.0,28157.0,41747.0,43050.0,50096.0,52162.0,63685.0,91181.0,97774.0,101686.0,98640.0,102121.0,106595.0,111127.0
265, Elgin,  Illinois,111683,96.9,1158,42.0396,-88.3217,8787.0,17823.0,22433.0,25976.0,27454.0,35929.0,38333.0,44223.0,49447.0,55691.0,63798.0,77010.0,94487.0,108188.0,112456.0
266, Lowell,  Massachusetts,111670,35.2,3139,42.6390,-71.3211,59475.0,77696.0,94969.0,106294.0,112759.0,100234.0,101389.0,97249.0,92107.0,94239.0,92418.0,103439.0,105167.0,106519.0,
267, Antioch,  California,111535,76.1,1456,37.9791,-121.7962,626.0,635.0,674.0,1124.0,1936.0,3563.0,5106.0,11051.0,17035.0,28060.0,43559.0,62195.0,90532.0,102372.0,111674.0
268, West Palm Beach,  Florida,111398,142.7,758,26.7464,-80.1251,,244.0,564.0,1743.0,8659.0,26610.0,33693.0,43162.0,56208.0,57375.0,63305.0,67643.0,82103.0,99919.0,110222.0
269, Peoria,  Illinois,111388,124.8,915,40.7515,-89.6174,29259.0,41024.0,56100.0,66950.0,76121.0,104969.0,105087.0,111856.0,103162.0,126963.0,124160.0,113504.0,112936.0,115007.0,112883.0
270, Everett,  Washington,111262,86.2,1264,47.9566,-122.1914,,,7838.0,24814.0,27644.0,30567.0,30224.0,33849.0,40304.0,53622.0,54413.0,69961.0,91488.0,103019.0,110079.0
271, Ventura,  California,111128,56.5,1941,34.2678,-119.2542,1370.0,2320.0,2470.0,2901.0,4156.0,11603.0,13264.0,16534.0,29114.0,57964.0,73774.0,92575.0,100916.0,106433.0,110790.0
272, Centennial,  Colorado,110831,76.4,1439,39.5906,-104.8691,,,,,,,,,,,,,,100377.0,110250.0
273, Lakeland,  Florida,110516,170.7,624,28.0555,-81.9549,,552.0,1180.0,3719.0,7062.0,18554.0,22068.0,30851.0,41350.0,42803.0,47406.0,70576.0,78452.0,97422.0,108054.0
274, Gresham,  Oregon,110158,60.3,1848,45.5023,-122.4416,,,,510.0,1103.0,1635.0,1951.0,3049.0,3944.0,10030.0,33005.0,68235.0,90205.0,105594.0,111053.0
275, Richmond,  California,110146,78.0,1409,37.9523,-122.3606,,,,6802.0,16843.0,20093.0,23642.0,99545.0,71854.0,79043.0,74676.0,87425.0,99216.0,103701.0,110040.0
276, Billings,  Montana,109550,113.2,975,45.7885,-108.5499,587.0,836.0,3211.0,10031.0,15100.0,16386.0,23216.0,31834.0,52851.0,61581.0,66798.0,81151.0,89847.0,104170.0,
277, Inglewood,  California,109419,23.6,4700,33.9561,-118.3443,,,,1536.0,3286.0,19480.0,30114.0,46185.0,63390.0,89985.0,94162.0,109602.0,112580.0,109673.0,110598.0
278, Broken Arrow,  Oklahoma,109171,159.8,672,36.0365,-95.7810,,,1383.0,1576.0,2086.0,1964.0,2074.0,3262.0,5982.0,11787.0,35761.0,58043.0,74859.0,98850.0,
279, Sandy Springs,  Georgia,108797,97.6,1083,33.9315,-84.3687,,,,,,,,,,,46877.0,67842.0,85781.0,93853.0,106739.0
280, Jurupa Valley,  California,108393,111.1,932,34.0026,-117.4676,,,,,,,,,,,,,,94234.0,106028.0
281, Hillsboro,  Oregon,108389,64.7,1624,45.5280,-122.9357,402.0,1246.0,980.0,2016.0,2468.0,3039.0,3747.0,5142.0,8232.0,15365.0,27664.0,37598.0,70187.0,91611.0,106894.0
282, Waterbury,  Connecticut,108093,73.8,1467,41.5585,-73.0367,17806.0,28646.0,45859.0,73141.0,91715.0,99902.0,99314.0,104477.0,107130.0,108033.0,103266.0,108961.0,107271.0,110366.0,108629.0
283, Santa Maria,  California,107408,59.1,1800,34.9332,-120.4438,,,,2260.0,3943.0,7057.0,8522.0,10440.0,20027.0,32749.0,39685.0,61284.0,77423.0,99553.0,107014.0
284, Boulder,  Colorado,107353,64.2,1683,40.0270,-105.2519,3069.0,3330.0,6150.0,9539.0,11006.0,11223.0,12958.0,19999.0,37718.0,66870.0,76685.0,83312.0,94673.0,97385.0,107125.0
285, Greeley,  Colorado,107348,123.8,840,40.4153,-104.7697,1297.0,2395.0,3023.0,8179.0,10958.0,12203.0,15995.0,20354.0,26314.0,38902.0,53006.0,60536.0,76930.0,92889.0,105448.0
286, Daly City,  California,107008,19.7,5409,37.7009,-122.4650,,,,,3779.0,7838.0,9625.0,15191.0,44791.0,66922.0,78519.0,92311.0,103621.0,101123.0,107074.0
287, Meridian,  Idaho,106804,77.2,1384,43.6142,-116.3989,,,,619.0,1000.0,1004.0,1465.0,1810.0,2081.0,2616.0,6658.0,9596.0,34919.0,75092.0,99926.0
288, Lewisville,  Texas,106586,95.1,1101,33.0466,-96.9818,466.0,498.0,,,,853.0,873.0,1516.0,3956.0,9264.0,24273.0,46521.0,77737.0,95290.0,106021.0
289, Davie,  Florida,106558,90.4,1127,26.0791,-80.2850,,,,,,,,,,5859.0,20500.0,47217.0,75720.0,91992.0,105149.0
290, West Covina,  California,106311,41.4,2600,34.0559,-117.9099,,,,,,769.0,1072.0,4499.0,50645.0,68034.0,80292.0,96086.0,105080.0,106098.0,107598.0
291, League City,  Texas,106244,132.6,769,29.4901,-95.1091,,,,,,,,,,10818.0,16578.0,30159.0,45444.0,83560.0,104903.0
292, Tyler,  Texas,105729,146.6,715,32.3173,-95.3059,2423.0,6908.0,8069.0,10400.0,12085.0,17113.0,28279.0,38968.0,51230.0,57770.0,70508.0,75450.0,83650.0,96900.0,104991.0
293, Norwalk,  California,105120,25.1,4226,33.9076,-118.0835,,,,,,,,,88739.0,90164.0,84901.0,94279.0,103298.0,105549.0,106084.0
294, San Mateo,  California,105025,31.3,3317,37.5603,-122.3106,932.0,,1832.0,4384.0,5979.0,13444.0,19403.0,41782.0,69870.0,78991.0,77640.0,85486.0,92482.0,97207.0,104748.0
295, Green Bay,  Wisconsin,104879,117.6,894,44.5207,-87.9842,7476.0,9069.0,23748.0,25216.0,31643.0,37407.0,46205.0,52735.0,62952.0,87829.0,87947.0,96466.0,102313.0,104057.0,105116.0
296, Wichita Falls,  Texas,104576,187.0,560,33.9067,-98.5259,,1978.0,2480.0,8200.0,40079.0,43690.0,45112.0,68042.0,101724.0,96265.0,94201.0,96259.0,104197.0,104553.0,104747.0
297, Sparks,  Nevada,104246,93.0,1080,39.5544,-119.7356,,,,2500.0,3238.0,4508.0,5318.0,8203.0,16618.0,24187.0,40780.0,53667.0,66346.0,90264.0,100888.0
298, Lakewood,  New Jersey,104157,64.0,1575,40.0771,-74.2004,1044.0,,3094.0,5149.0,6110.0,7869.0,8502.0,10809.0,16020.0,25233.0,38464.0,45048.0,60352.0,92843.0,
299, Burbank,  California,103695,45.1,2318,34.1901,-118.3264,,,,,2913.0,16662.0,34337.0,78577.0,90155.0,88871.0,84625.0,93643.0,100316.0,103340.0,104834.0
300, Rialto,  California,103440,57.8,1789,34.1118,-117.3883,,,,,961.0,1642.0,1770.0,3156.0,18567.0,28370.0,37862.0,72388.0,91873.0,99171.0,103562.0
301, Allen,  Texas,103383,70.2,1434,33.0997,-96.6631,96.0,,,,,,,,659.0,1940.0,8314.0,18309.0,43554.0,84246.0,100685.0
302, El Cajon,  California,103241,37.6,2763,32.8017,-116.9604,,,,,469.0,1050.0,1471.0,5600.0,37618.0,52273.0,73892.0,88693.0,94869.0,99478.0,103894.0
303, Las Cruces,  New Mexico,102926,199.2,511,32.3264,-106.7897,,,,3836.0,3989.0,5811.0,8385.0,12325.0,29387.0,37857.0,43377.0,57866.0,74267.0,97618.0,101712.0
304, Renton,  Washington,102153,60.6,1666,47.4761,-122.1920,200.0,406.0,412.0,2740.0,3301.0,4062.0,4488.0,16039.0,18453.0,25878.0,31031.0,41688.0,50052.0,90927.0,101379.0
305, Davenport,  Iowa,102085,162.9,630,41.5541,-90.6040,21831.0,26872.0,35254.0,43028.0,56727.0,60751.0,66039.0,74549.0,88981.0,98469.0,103264.0,95333.0,98359.0,99685.0,102320.0
306, South Bend,  Indiana,101860,107.2,949,41.6769,-86.2690,13280.0,21819.0,35999.0,53684.0,70983.0,104193.0,101268.0,115911.0,132445.0,125850.0,109727.0,105511.0,107789.0,101166.0,102245.0
307, Vista,  California,101224,48.4,2099,33.1895,-117.2386,,,,,,,,1705.0,14795.0,24688.0,35834.0,71872.0,89857.0,93834.0,101568.0
308, Tuscaloosa,  Alabama,101113,185.7,540,33.2065,-87.5346,2418.0,4215.0,5094.0,8407.0,11996.0,20659.0,27493.0,46396.0,63370.0,65773.0,75211.0,77759.0,77906.0,90468.0,100287.0
309, Clinton,  Michigan,100800,72.8,1380,42.5903,-82.9170,,,,,,,,,,,,,,,
310, Edison,  New Jersey,100693,78.0,1309,40.5040,-74.3494,3789.0,3018.0,2801.0,2707.0,5419.0,10025.0,11470.0,16348.0,44799.0,67120.0,70193.0,88680.0,97687.0,99967.0,
311, Woodbridge,  New Jersey,100450,60.3,1680,40.5607,-74.2927,4099.0,4665.0,7631.0,8948.0,13423.0,25266.0,27191.0,35758.0,78846.0,98944.0,90074.0,93086.0,97203.0,99585.0,
312, San Angelo,  Texas,100215,155.1,649,31.4411,-100.4505,,2615.0,,10321.0,10050.0,25308.0,25802.0,52093.0,58815.0,63884.0,73240.0,84462.0,88439.0,93200.0,100119.0
313, Kenosha,  Wisconsin,100164,72.5,1381,42.5822,-87.8456,4039.0,6532.0,11606.0,21371.0,40472.0,50262.0,48765.0,54368.0,67899.0,78805.0,77685.0,80352.0,90352.0,99218.0,99877.0
314, Vacaville,  California,100154,75.1,1332,38.3539,-121.9728,361.0,725.0,1220.0,1177.0,1254.0,1556.0,1614.0,3169.0,10898.0,21690.0,43367.0,71479.0,88625.0,92428.0,100032.0
