Rank_2018,City,State,Est_Census_2018,Landarea_2016,Pop_Density_2016,Latitude,Longitude,Census_1880,Census_1890,Census_1900,Census_1910,Census_1920,Census_1930,Census_1940,Census_1950,Census_1960,Census_1970,Census_1980,Census_1990,Census_2000,Census_2010,Census_2017
95, Hialeah,  Florida,238942,55.7,4245,25.8699,-80.3029,,,,,,2600.0,3958.0,19676.0,66972.0,102452.0,145254.0,188004.0,226419.0,224669.0,239673.0
96, Fremont,  California,237807,200.7,1161,37.4945,-121.9412,,,,,,,,,43790.0,100869.0,131945.0,173339.0,203413.0,214089.0,234962.0
97, Boise,  Idaho,228790,212.6,1049,43.6002,-116.2317,1899.0,2311.0,5957.0,17358.0,21393.0,21544.0,26130.0,34393.0,34481.0,74990.0,102249.0,125738.0,185787.0,205671.0,226570.0
98, Richmond,  Virginia,228783,154.9,1441,37.5314,-77.4760,63600.0,81388.0,85050.0,127628.0,171667.0,182929.0,193042.0,230310.0,219958.0,249621.0,219214.0,203056.0,197790.0,204214.0,227032.0
99, Baton Rouge,  Louisiana,221599,222.5,1024,30.4422,-91.1309,7197.0,10478.0,11269.0,14897.0,21782.0,30729.0,34719.0,125629.0,152419.0,165921.0,220394.0,219531.0,227818.0,229493.0,225374.0
100, Spokane,  Washington,219190,177.9,1214,47.6669,-117.4333,350.0,19922.0,36848.0,104402.0,104437.0,115514.0,122001.0,161721.0,181608.0,170516.0,171300.0,177196.0,195629.0,208916.0,217108.0
101, Des Moines,  Iowa,216853,230.2,936,41.5726,-93.6102,22408.0,50093.0,62139.0,86368.0,126468.0,142559.0,159819.0,177965.0,208982.0,201404.0,191003.0,193187.0,198682.0,203433.0,217521.0
102, Tacoma,  Washington,216279,128.7,1641,47.2522,-122.4598,1098.0,36006.0,37714.0,83743.0,96965.0,106817.0,109408.0,143673.0,147979.0,154407.0,158501.0,176664.0,193556.0,198397.0,
103, San Bernardino,  California,215941,159.3,1358,34.1416,-117.2936,1673.0,4012.0,6150.0,12779.0,18721.0,37481.0,43646.0,63058.0,91922.0,106869.0,118794.0,164164.0,185401.0,209924.0,216995.0
104, Modesto,  California,215030,111.4,1905,37.6375,-121.0030,1693.0,2402.0,2024.0,4034.0,9241.0,13842.0,16379.0,17389.0,36585.0,61712.0,106963.0,164730.0,188856.0,201165.0,214221.0
